min,max,mean
16384,339968,169807.26903553298
155648,258048,220540.34285714285
81920,253952,157397.74757281554
65536,212992,135168.0
65536,151552,122105.08108108108
53248,122880,88104.1568627451
36864,122880,83233.81132075471
16384,192512,65156.74074074074
16384,200704,72414.18867924529
12288,245760,79397.29801324503
