SD,RF,bitrate,freq,mag
2908119.0,2237014.6153846155,2.908119,3.0,0.0
2908119.0,2705226.976744186,2.908119,0.75,0.0
2046467.1609265627,2258598.8266666667,2.470342,0.9375,0.423875
2087288.0,2039487.5114503817,2.087288,0.234375,0.0
1322120.9324708132,1507936.7740066624,1.742962,1.55859375,0.420841
687588.8362840097,856032.6702258727,1.017792,1.8896484375,0.330203
302458.57468074904,298129.92894538055,0.379293,2.722412109375,0.076834
43855.96750305337,188145.5384625305,0.35617,8.93060302734375,0.312314
1052044.7859606901,942782.635043847,1.29469,3.7326507568359375,0.242645
