min,max,mean
16384,331776,112311.04663212436
45056,155648,109337.15606936417
45056,143360,101128.8275862069
40960,151552,94882.90909090909
36864,151552,105489.9649122807
20480,159744,87747.29896907216
20480,200704,116893.53846153847
61440,200704,103873.12280701754
20480,151552,91302.69767441861
24576,176128,82474.66666666667
