0,1,2,3,4,5,6,7,8,9
21660,339111.0,389901.0,422516.0,235365.0,140281.0,91587,394005.0,424056.0,247593.0
46329,333710.0,376443.0,423468.0,236249.0,140108.0,96495,441097.0,340105.0,230332.0
74517,311645.0,408046.0,419283.0,292845.0,101107.0,93925,390127.0,414470.0,238384.0
92784,319440.0,370456.0,308687.0,316975.0,114108.0,93194,435583.0,314034.0,243226.0
103683,359742.0,392456.0,343074.0,342739.0,,95664,388904.0,389504.0,285582.0
98419,404731.0,372544.0,367438.0,309353.0,,77541,357226.0,359212.0,341516.0
194565,357820.0,351732.0,381002.0,312407.0,,77819,375044.0,333130.0,333007.0
240259,406603.0,342560.0,412319.0,263064.0,,49480,367445.0,135153.0,336562.0
266242,417538.0,417666.0,406563.0,228937.0,,48297,319621.0,227359.0,338986.0
342236,422879.0,416794.0,408538.0,319148.0,,46890,420938.0,247853.0,340068.0
431433,378707.0,438428.0,400569.0,260735.0,,68766,297350.0,239662.0,342667.0
444517,420720.0,313743.0,405276.0,251307.0,,81812,428729.0,243218.0,337819.0
432273,426107.0,386730.0,419283.0,317165.0,,123137,556537.0,240796.0,306245.0
434701,425218.0,320363.0,308687.0,302202.0,,131593,513911.0,220291.0,311638.0
300691,439510.0,394760.0,343074.0,337585.0,,131510,550038.0,335783.0,397973.0
347957,345721.0,370020.0,367438.0,296987.0,,167667,586196.0,329156.0,247808.0
400185,377101.0,389901.0,381002.0,309353.0,,153569,534940.0,242254.0,232209.0
374615,317322.0,376443.0,412319.0,312407.0,,85079,589381.0,298879.0,400659.0
398210,350763.0,408046.0,406563.0,263064.0,,135020,483344.0,194678.0,417279.0
461770,441016.0,370456.0,408538.0,374895.0,,133588,468001.0,245610.0,230332.0
416653,482454.0,392456.0,400569.0,416908.0,,249396,488164.0,235618.0,238384.0
21660,423965.0,372544.0,405276.0,373560.0,,236559,258153.0,252223.0,243226.0
46329,547921.0,351732.0,383743.0,317825.0,,240173,220985.0,308476.0,285582.0
74517,566207.0,342560.0,236249.0,407395.0,,308428,316813.0,227359.0,341516.0
92784,573401.0,417666.0,253570.0,492734.0,,320682,468001.0,247853.0,333007.0
103683,503215.0,416794.0,273710.0,600026.0,,298625,488164.0,239662.0,336562.0
98419,562843.0,438428.0,419283.0,539018.0,,117364,417251.0,243218.0,338986.0
194565,337208.0,313743.0,308687.0,511000.0,,117977,379847.0,240796.0,340068.0
240259,425218.0,386730.0,343074.0,552407.0,,88860,572250.0,247593.0,433359.0
266242,439510.0,320363.0,367438.0,431101.0,,96555,394754.0,308476.0,438004.0
342236,333710.0,394760.0,381002.0,406317.0,,123778,335783.0,341008.0,428380.0
431433,311645.0,370020.0,412319.0,390645.0,,122219,329156.0,343951.0,427208.0
587156,319440.0,422516.0,406563.0,378452.0,,69210,242254.0,334026.0,397973.0
576366,359742.0,423468.0,408538.0,374895.0,,68766,298879.0,332578.0,247808.0
591342,404731.0,376443.0,400569.0,416908.0,,62912,194678.0,333500.0,232209.0
313859,357820.0,408046.0,405276.0,373560.0,,73928,245610.0,345458.0,400659.0
429061,406603.0,370456.0,383743.0,317825.0,,92570,235618.0,312042.0,336562.0
552134,417538.0,392456.0,353456.0,407395.0,,86824,252223.0,329558.0,338986.0
452650,422879.0,372544.0,388984.0,377047.0,,122556,,324141.0,340068.0
484179,378707.0,351732.0,430688.0,449769.0,,138410,,330289.0,342667.0
615963,420720.0,342560.0,,383828.0,,85079,,341516.0,337819.0
564958,426107.0,417666.0,,391152.0,,209276,,333007.0,306245.0
21660,425218.0,416794.0,,409153.0,,226994,,,311638.0
46329,439510.0,438428.0,,,,266960,,,248691.0
74517,389901.0,313743.0,,,,346813,,,247808.0
92784,,386730.0,,,,303108,,,232209.0
103683,,320363.0,,,,393728,,,400659.0
98419,,394760.0,,,,148642,,,417279.0
194565,,370020.0,,,,97889,,,62219.0
240259,,422516.0,,,,95168,,,
266242,,423468.0,,,,93989,,,
342236,,,,,,81812,,,
431433,,,,,,98876,,,
444517,,,,,,112014,,,
432273,,,,,,103508,,,
434701,,,,,,154588,,,
300691,,,,,,153569,,,
347957,,,,,,159198,,,
400185,,,,,,224592,,,
374615,,,,,,322748,,,
398210,,,,,,382128,,,
461770,,,,,,414204,,,
416653,,,,,,392095,,,
339111,,,,,,548809,,,
