min,max,mean
21660,615963,301036.0
311645,573401,406035.93333333335
313743,438428,382156.7254901961
236249,430688,377709.35
228937,600026,362830.27906976745
101107,140281,123901.0
46890,589381,200683.9295774648
194678,589381,395710.5263157895
135153,424056,293513.11904761905
62219,438004,317258.48979591834
