min,max,mean
16384,344064,182559.43859649124
126976,258048,216954.4347826087
118784,331776,218798.98734177215
135168,348160,259920.45714285714
94208,303104,217710.17721518988
106496,327680,213835.29411764705
155648,335872,280267.397260274
122880,253952,201614.22222222222
24576,258048,132049.45454545456
45056,393216,168975.28358208956
