0,1,2,3,4,5,6,7,8,9
21660,103036.0,235619.0,282629.0,147094.0,68837.0,70385,233081.0,155607.0,118475.0
46329,136304.0,270237.0,282377.0,163761.0,71936.0,69736,223512.0,129527.0,119876.0
74517,88435.0,205411.0,180888.0,209141.0,53558.0,71936,212038.0,135153.0,118013.0
92784,188744.0,256765.0,226379.0,233187.0,56688.0,53558,229311.0,227359.0,116548.0
103683,233021.0,234773.0,236805.0,213676.0,74506.0,56688,198892.0,247853.0,118260.0
98419,255147.0,221433.0,253165.0,192791.0,71852.0,74506,177953.0,239662.0,117882.0
194565,219881.0,205113.0,259135.0,242775.0,69210.0,71852,203406.0,243218.0,118633.0
240259,276558.0,278722.0,257607.0,228937.0,71695.0,69210,154855.0,120437.0,144643.0
266242,274620.0,281113.0,283800.0,319148.0,69620.0,23074,141739.0,123874.0,193518.0
342236,276230.0,286605.0,255766.0,260735.0,,42219,208268.0,113088.0,211458.0
339926,258188.0,184581.0,178154.0,251307.0,,73928,151646.0,283405.0,183778.0
344840,280242.0,275841.0,154677.0,317165.0,,92570,231024.0,292128.0,170858.0
241027,287725.0,202495.0,192544.0,302202.0,,86824,228449.0,293871.0,132122.0
242159,284611.0,250672.0,150375.0,337585.0,,122556,158149.0,288567.0,83814.0
98843,291650.0,237511.0,253165.0,211548.0,,138410,176787.0,284985.0,73549.0
129212,249625.0,277261.0,259135.0,132940.0,,85079,110716.0,285961.0,123525.0
210910,199081.0,205411.0,257607.0,100705.0,,209276,132256.0,295838.0,141008.0
162977,204996.0,256765.0,283800.0,222162.0,,120496,357226.0,182004.0,33802.0
183581,173455.0,234773.0,255766.0,234567.0,,153480,375044.0,188910.0,191889.0
241046,191260.0,221433.0,271801.0,214283.0,,135162,367445.0,193308.0,192896.0
227873,250976.0,205113.0,235365.0,317165.0,,153871,319621.0,141739.0,192668.0
21660,267204.0,320900.0,236249.0,302202.0,,195983,420938.0,208268.0,194541.0
46329,231112.0,327947.0,253570.0,337585.0,,217270,297350.0,151646.0,191471.0
74517,320378.0,332405.0,178639.0,309676.0,,186514,428729.0,231024.0,196628.0
92784,229079.0,198608.0,191705.0,295372.0,,77541,424056.0,228449.0,193518.0
103683,220745.0,322244.0,176252.0,329172.0,,77819,218428.0,158149.0,211458.0
98419,169064.0,222414.0,169689.0,322986.0,,98925,270005.0,176787.0,278565.0
