min,max,mean
21660,765157,354544.9054054054
350763,738995,608254.5106382979
387620,913498,594577.3695652174
353456,927240,557778.2
290535,600026,431245.39130434784
161243,590879,367138.82857142854
131859,339019,251995.94594594595
47957,154855,109690.75
37755,124034,79325.26666666666
36287,345458,105793.0
