min,max,mean
21660,461770,263359.6779661017
173455,439510,363619.54545454547
198608,573092,369999.11392405065
267304,690939,443838.35
100705,431101,298334.3157894737
85079,344711,206459.37037037036
128678,320682,219781.86538461538
46188,148020,98468.86
17155,240041,67035.4
17577,341516,89064.36144578313
