min,max,mean
21660,615963,292788.8656716418
311645,587912,425652.4081632653
313743,578270,416384.76086956525
308687,568781,423531.1489361702
228937,524129,370987.02127659577
286456,441961,387375.74418604653
303108,728834,403382.2448979592
235618,720322,441593.1538461539
247808,450921,387389.1666666667
62219,428380,276125.5714285714
