0,1,2,3,4,5,6,7,8,9
21660,116857.0,143207.0,144897.0,103596.0,24481.0,49120.0,170989.0,102825.0,192896.0
46329,95524.0,120073.0,142631.0,97846.0,22417.0,45168.0,183686.0,123333.0,192668.0
74517,97149.0,125510.0,88609.0,182500.0,23400.0,46363.0,187620.0,91100.0,194541.0
92784,89257.0,135954.0,75059.0,165562.0,24063.0,47899.0,178518.0,112410.0,118633.0
103683,77051.0,103710.0,82521.0,175846.0,22720.0,42402.0,187550.0,114225.0,121468.0
98419,80677.0,131801.0,91419.0,214663.0,20275.0,38807.0,167100.0,106148.0,121549.0
194565,81830.0,118101.0,95831.0,217794.0,24621.0,49480.0,105927.0,129420.0,119132.0
240259,85115.0,115996.0,110302.0,142834.0,24127.0,48297.0,111080.0,148020.0,118263.0
266242,92368.0,108860.0,117422.0,138248.0,23502.0,46890.0,96734.0,147805.0,119204.0
342236,90517.0,140311.0,111009.0,97846.0,23074.0,45869.0,96265.0,145126.0,96078.0
339926,92339.0,141373.0,114048.0,182500.0,42219.0,62912.0,117505.0,145183.0,75398.0
344840,115608.0,145336.0,64611.0,146133.0,73928.0,98876.0,80813.0,143814.0,71415.0
241027,116978.0,88028.0,62487.0,79653.0,92570.0,112014.0,133271.0,149364.0,116568.0
242159,108957.0,143342.0,89422.0,108149.0,86824.0,103508.0,141999.0,136115.0,137770.0
89237,113837.0,108170.0,94136.0,105083.0,122556.0,154588.0,167100.0,141305.0,17577.0
108611,142999.0,129916.0,99541.0,119044.0,138410.0,153569.0,152818.0,142991.0,211458.0
124653,139868.0,122692.0,91174.0,114336.0,46265.0,159198.0,175398.0,141776.0,141266.0
109599,104693.0,141311.0,90228.0,102755.0,49120.0,209276.0,96734.0,114365.0,139688.0
21660,106286.0,103710.0,121058.0,222162.0,45168.0,206509.0,96265.0,49016.0,107053.0
46329,93422.0,131801.0,133350.0,165562.0,46363.0,249396.0,117505.0,49811.0,79556.0
74517,98484.0,118101.0,137781.0,214283.0,47899.0,222527.0,80813.0,48616.0,72003.0
92784,113153.0,115996.0,89079.0,269757.0,42402.0,201281.0,109598.0,49014.0,122617.0
103683,136964.0,108860.0,93565.0,259167.0,38807.0,272169.0,118991.0,47941.0,137770.0
