MO,MA,SD,RF,bitrate,freq,mag
2378486.0,480679.0,592547.1845402758,595943.3707865168,0.662987,2.8125,0.140879
2573805.0,707171.0,868034.2730119214,882047.9621972829,0.933317,1.453125,0.130565
3621456.0,1207152.0,1207152.0,1189861.8204219928,1.207152,0.36328125,0.0
3621456.0,1029386.0,1219060.0640354278,1253864.0263028608,1.296035,0.8408203125,0.153949
5895204.0,1473801.0,1473801.0,1461512.3076476115,1.473801,0.210205078125,0.0
4421403.0,1473801.0,1473801.0,1470709.4939592313,1.473801,0.05255126953125,0.0
4421403.0,1473801.0,1473801.0,1473026.9056605385,1.473801,0.0131378173828125,0.0
2947602.0,1473801.0,1473801.0,1473607.4001508285,1.473801,0.003284454345703125,0.0
4421403.0,1473801.0,1473801.0,1473752.59526884,1.473801,0.0008211135864257812,0.0
