min,max,mean
16384,294912,110941.90954773869
53248,155648,123787.49700598803
40960,147456,106218.66666666667
61440,151552,120021.04697986577
36864,212992,115322.21935483871
61440,192512,111100.65359477124
94208,335872,171337.14285714287
40960,221184,100106.24
24576,131072,81066.66666666667
20480,380928,70751.57333333333
